Faculty Member,Division/Institute,Current Position,SGS Status,Accepting Students
"Abdool, Rosalind",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Abejirinde, Ibukun",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Abelsohn, Alan",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Abolhassani, Farbod",Epidemiology Division,Adjunct Professor,Associate Member,No
"Abramovich, Alex",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Abuelaish, Izzeldin","Clinical Public Health Division, Centre for Global Health",Professor,Associate Member,N/A
"Afanasyeva, Marina",Occupational & Environmental Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Aggarwal, Monica",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Agic, Branka",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Ahmad, Farah",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Aimone, Ashley Mariko",Epidemiology Division,Assistant Professor,Associate (Restricted) Member,N/A
"Airia, Parisa",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Akbari, Mohammad Reza",Epidemiology Division,Associate Professor,Full Member,N/A
"Al-​Imari, Lina",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Alexandra, Wright",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Ali, Farihah",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Alleyne, Julia Mary",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Amberbir, Alemayehu",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Anam Khan, Mohammad Kaviul",Mohammad Kaviul Anam Khan,N/A,N/A,N/A
"Anderson, James",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Anderson, John",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Andrews, David",Biostatistics Division,Professor Emeritus,Member Emeritus,N/A
"Armstrong, Irene",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Arora, Paul",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,Yes
"Arrandale, Victoria","Occupational & Environmental Health Division, Centre for Global Health, Centre for Occupational Disease Prevention",Associate Professor,Full Member,Yes
"Ashley, Mary Jane",Epidemiology Division,Professor Emerita,Member Emerita,N/A
"Aslanyan, Garry","Institute of Health Policy, Management & Evaluation, Clinical Public Health Division, Centre for Global Health",Adjunct Professor,Associate Member,N/A
"Asrar, Farhan",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Ataullahjan, Anushka","Social & Behavioural Health Sciences Division, Centre for Global Health",Assistant Professor,N/A,N/A
"Atenafu, Eshetu G.",Biostatistics Division,Adjunct Lecturer,Associate (Restricted) Member,No
"Atkinson, Michael",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Avery, Lisa",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Badley, Elizabeth M",Epidemiology Division,Professor Emerita,Member Emerita,N/A
"Baines, Cornelia J.",Epidemiology Division,Professor Emerita,Member Emerita,N/A
"Baliunas, Dolly",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Banack, Hailey",Epidemiology Division,Assistant Professor,Associate Member,Yes
"Banerjee, Ananya Tina","Epidemiology Division, Social & Behavioural Health Sciences Division",Assistant Professor,Associate Member,N/A
"Barned, Claudia","Clinical Public Health Division, Joint Centre for Bioethics",Assistant Professor,Associate Member,N/A
"Barwick, Melanie","Institute of Health Policy, Management & Evaluation, Social & Behavioural Health Sciences Division",Professor,Full Member,No
"Bassani, Diego G.","Epidemiology Division, Centre for Global Health",Associate Professor,Full Member,N/A
"Batomen Kuimi, Brice",Epidemiology Division,Assistant Professor,Full Member,N/A
"Batty, Helen P.",Clinical Public Health Division,Professor,Associate Member,N/A
"Bauer, Greta",Epidemiology Division,Professor,Associate Member,N/A
"Baxter, Nancy","Institute of Health Policy, Management & Evaluation",Professor,Full Member,N/A
"Beales, Amanda",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Bean, Sally",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Bell, Jennifer",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Benatar, Solomon (Solly) Robert","Clinical Public Health Division, Centre for Global Health",Adjunct Professor,Associate Member,No
"Bender, Jackie",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,Yes
"Bennett-​Abuayyash, Caroline W",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Benoit, Anita C.",Social & Behavioural Health Sciences Division,Assistant Professor,Full Member,Yes
"Berger, Lisa",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Bernstein, Joyce I.",Epidemiology Division,Assistant Professor,N/A,N/A
"Berry, Isha","Epidemiology Division, Centre for Vaccine Preventable Diseases, Centre for Global Health",Adjunct Lecturer,Associate (Restricted) Member,N/A
"Bhuiyan, Shafi U.","Clinical Public Health Division, Social & Behavioural Health Sciences Division, Centre for Global Health",Associate Professor,Associate Member,N/A
"Bhutta, Zulfiqar",Epidemiology Division,Professor,Full Member,N/A
"Bianchi, Andria",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Bigham, Blair",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Bilotta, Rose",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Binns, Malcolm","Biostatistics Division, Epidemiology Division",Associate Professor,Associate Member,N/A
"Birk-​Urovitz, Elizabeth",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Birn, Anne-​Emanuelle","Social & Behavioural Health Sciences Division, Centre for Global Health",Professor,Full Member,No
"Biswas, Aviroop",Epidemiology Division,Assistant Professor,Associate Member,No
"Blair, Alexandra",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Blake, Jennifer",Clinical Public Health Division,Professor,Associate Member,N/A
"Boivin, Antoine",Social & Behavioural Health Sciences Division,Associate Professor,Associate (Restricted) Member,N/A
"Bolotin, Shelly",Epidemiology Division,Associate Professor,Associate Member,N/A
"Bondy, Susan J",Epidemiology Division,Associate Professor,Full Member,Yes
"Bozek, Paul",Occupational & Environmental Health Division,Associate Professor,Associate Member,N/A
"Braitstein, Paula K.A.","Epidemiology Division, Centre for Global Health",Professor,In Rememberance,No
"Brandon, Nicholas",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Bray, Riina Ines",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Bright, Kristin",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Briollais, Laurent",Biostatistics Division,Professor,Full Member,Yes
"Bronskill, Susan",Epidemiology Division,Professor,Full Member,Yes
"Brook, Jeffrey R.",Occupational & Environmental Health Division,Associate Professor,Full Member,N/A
"Brooks, Jennifer",Epidemiology Division,Associate Professor,Full Member,No
"Brown, Adalsteinn",Adalsteinn Brown,Professor,Full Member,N/A
"Brown, Hilary",Epidemiology Division,Associate Professor,Full Member,Yes
"Brown, Kevin Antoine","Epidemiology Division, Institute for Pandemics",Associate Professor,Associate Member,N/A
"Buchan, Sarah A.",Epidemiology Division,Associate Professor,Associate Member,N/A
"Buchman, Daniel Z.","Clinical Public Health Division, Joint Centre for Bioethics",Associate Professor,Full Member,Yes
"Buklis, Pierrette",Clinical Public Health Division,Assistant Professor,Associate Member,No
"Bull, Shelley",Biostatistics Division,Professor,Full Member,N/A
"Burchell, Ann Natalie",Epidemiology Division,Professor,Full Member,N/A
"Burke, Tracie",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Cadarette, Suzanne",Epidemiology Division,Associate Professor,Full Member,N/A
"Cajigas Rotundo, Juan Camilo",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Calzavara, Liviana Mostacci","Epidemiology Division, Social & Behavioural Health Sciences Division, Centre for Global Health",Professor Emerita,Member Emerita,No
"Campisi, Susan C",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Carnide, Nancy",Epidemiology Division,Assistant Professor,Associate Member,No
"Caron-​Beaudoin, Elyse",Occupational & Environmental Health Division,Assistant Professor,N/A,Yes
"Carsley, Sarah",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Cassidy, John David",Epidemiology Division,Adjunct Professor,N/A,N/A
"Cataldo, Fabian",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Caturay, Alexa",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Ceolin, Lissa",Occupational & Environmental Health Division,Lecturer,Associate (Restricted) Member,N/A
"Chaiton, Michael","Epidemiology Division, Centre for Global Health",Associate Professor,Associate Member,Yes
"Chalin, Catherine G.","Social & Behavioural Health Sciences Division, Centre for Global Health",Professor Emerita,Member Emerita,N/A
"Chambers, Catharine",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Chan, Adrienne K.","Clinical Public Health Division, Centre for Global Health",Associate Professor,Associate Member,N/A
"Charles, Jocelyn",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Chavez, Freida","Clinical Public Health Division, Centre for Global Health","Associate Professor, Teaching Stream",Associate Member,N/A
"Chen, Hong",Occupational & Environmental Health Division,Assistant Professor,Associate Member,Yes
"Cheng, Emma",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Chiarelli, Anna Maria",Epidemiology Division,Adjunct Professor,Associate (Restricted) Member,N/A
"Chipman, Mary Louise",Epidemiology Division,Professor Emerita,Member Emerita,N/A
"Chockalingam, Arun","Epidemiology Division, Centre for Global Health",Adjunct Professor,N/A,N/A
"Choi, Bernard C.K.",Clinical Public Health Division,Associate Professor,N/A,N/A
"Chow, Chung-​Wai",Chung-​Wai Chow,Associate Professor,Full Member,N/A
"Chow, Shein-​Chung",Biostatistics Division,Professor,Associate Member,N/A
"Chris, Allison",Clinical Public Health Division,Adjunct Professor,Associate Member,N/A
"Cleverley, Kathryn",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Coburn, David",Social & Behavioural Health Sciences Division,Professor Emeritus,Member Emeritus,N/A
"Cole, Donald C","Clinical Public Health Division, Centre for Occupational Disease Prevention",Professor Emeritus,Member Emeritus,No
"Coleman, Brenda L.",Epidemiology Division,Assistant Professor,Full Member,No
"Connolly, Eoin",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Copes, Raymond",Occupational & Environmental Health Division,Adjunct Professor,Associate Member,N/A
"Cortinois, Andrea A.","Social & Behavioural Health Sciences Division, Centre for Global Health",Assistant Professor,Associate Member,N/A
"Côté, Pierre","Epidemiology Division, Centre for Global Health",Professor,Full Member,Yes
"Cotterchio, Michelle",Epidemiology Division,Professor,Full Member,N/A
"Crawford, Allison",Clinical Public Health Division,Professor,Associate Member,Yes
"Creatore, Marisa",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Cribb, Robert",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Crowcroft, Natasha Sarah","Epidemiology Division, Clinical Public Health Division",Professor,Full Member,N/A
"Cuddy, Angela",Clinical Public Health Division,Lecturer,Associate (Restricted) Member,N/A
"Cusimano, Michael D.",Clinical Public Health Division,Professor,Full Member,N/A
"D’Cunha, Colin",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Daar, Abdallah S.",Clinical Public Health Division,Professor Emeritus,Member Emeritus,No
"Daftary, Amrita",Social & Behavioural Health Sciences Division,Associate Professor,N/A,N/A
"Dainty, Katie",Social & Behavioural Health Sciences Division,Associate Professor,Full Member,N/A
"Davey, Catherine",Epidemiology Division,Professor,Associate Member,N/A
"Davey, Rachel",Epidemiology Division,Associate Professor,Associate Member,N/A
"De Melo, Margaret",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"de Villa, Eileen",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Deber, Raisa Berlin","Social & Behavioural Health Sciences Division, Centre for Global Health",Professor,Full Member,N/A
"DeBono, Nathan",Occupational & Environmental Health Division,Assistant Professor,Associate Member,N/A
"Demers, Paul",Occupational & Environmental Health Division,Professor,Full Member,N/A
"Devon, Karen",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Di Ciano, Patricia",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Di Ruggiero, Erica","Institute of Health Policy, Management & Evaluation, Social & Behavioural Health Sciences Division, Centre for Global Health",Associate Professor,Full Member,N/A
"Diamond, Miriam Leah",Occupational & Environmental Health Division,Professor,Full Member,N/A
"Dimaras, Helen","Clinical Public Health Division, Centre for Global Health",Associate Professor,Associate Member,No
"Do, Minh T.",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Dobson, Kathleen",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Doukas, Kathleen",Clinical Public Health Division,Lecturer,Associate (Restricted) Member,N/A
"Dryden, OmiSoore",Clinical Public Health Division,Associate Professor,N/A,N/A
"Du Mont, Janice",Social & Behavioural Health Sciences Division,Professor,Full Member,Yes
"Dubey, Vinita",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Dueck, Karalyn",Karalyn Dueck,Adjunct Lecturer,Associate Member,N/A
"Dunn, Sheila",Clinical Public Health Division,Associate Professor Emerita,Member Emerita,N/A
"Dupuis, Annie",Biostatistics Division,Adjunct Professor,Associate Member,N/A
"Dyke, Elizabeth",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"E. Nelson, LaRon",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Eakin, Joan",Social & Behavioural Health Sciences Division,Professor Emerita,Member Emerita,N/A
"Eason Klatt, Marie",Clinical Public Health Division,Lecturer,Associate (Restricted) Member,N/A
"Edwards, Richard",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,No
"Edwards, Sarah",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Einstein, Gillian","Social & Behavioural Health Sciences Division, Centre for Global Health",Professor,Full Member,N/A
"Eisenberg, Morty",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Elton, Sarah",Social & Behavioural Health Sciences Division,Assistant Professor,Full Member,N/A
"Embleton, Lonnie",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Escobar, Michael",Biostatistics Division,Professor,Full Member,N/A
"Espin-​Garcia, Osvaldo",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Eyssen, Gail",Epidemiology Division,Professor Emerita,Member Emerita,N/A
"Fadel, Shaza","Clinical Public Health Division, Centre for Vaccine Preventable Diseases, Centre for Global Health",Assistant Professor,Associate Member,N/A
"Fairman, Kimberly",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Felsky, Daniel",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Fernandes, JoAnne",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Ferrence, Roberta",Epidemiology Division,Adjunct Professor,Associate Member,N/A
"Ferris, Lorraine E.",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Fierheller, Dianne M.",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Finkelstein, Michael",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Fisman, David N.","Epidemiology Division, Institute for Pandemics",Professor,Full Member,Yes
"Fitzgerald-​Husek, Alanna",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Fitzpatrick, Tiffany",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Forman, Lisa","Institute of Health Policy, Management & Evaluation, Social & Behavioural Health Sciences Division, Centre for Global Health, Other Initiatives",Professor,Full Member,No
"Fox, Ann",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Frank, John",John Frank,Professor Emeritus,Member Emeritus,N/A
"Freeman, Risa",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Fung, Susanna",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Gabriel, Mikaela",Social & Behavioural Health Sciences Division,Assistant Professor,Full Member,N/A
"Gaffey, Michelle",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Gagnon, France",Epidemiology Division,Professor,Full Member,Yes
"Gagnon, Marilou",Social & Behavioural Health Sciences Division,Professor,Associate Member,N/A
"Gajaria, Amy",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Galange, Patrick",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Garay, Jason",Epidemiology Division,Adjunct Professor,Associate (Restricted) Member,N/A
"Gardner, Charles",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Gastaldo, Denise","Social & Behavioural Health Sciences Division, Centre for Global Health",Associate Professor,Full Member,No
"Ge, Erjia","Biostatistics Division, Epidemiology Division",Associate Professor,Full Member,No
"Gesink, Dionne",Epidemiology Division,Professor,Full Member,No
"Gewurtz, Rebecca",Social & Behavioural Health Sciences Division,Associate Professor,N/A,N/A
"Ghavam-​Rassoul, Abbas",Clinical Public Health Division,Assistant Professor,Associate Member,No
"Giannakeas, Vasily",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Gibson, Brian",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Gibson, Jennifer","Clinical Public Health Division, Joint Centre for Bioethics",Associate Professor,Full Member,N/A
"Giesbrecht, Norman",Social & Behavioural Health Sciences Division,Adjunct Professor,Associate Member,N/A
"Gignac, Monique A.M.","Social & Behavioural Health Sciences Division, Centre for Global Health",Professor,Full Member,No
"Gilbert, Julie",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Gill, Julia",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Gilson, Thomas P.",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Gladstone, Brenda",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Glazier, Richard H.",Epidemiology Division,Professor,Full Member,N/A
"Glover Takahashi, Susan",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Goel, Vivek",Clinical Public Health Division,Professor Emeritus,Member Emeritus,No
"Goodley, Daniel",Social & Behavioural Health Sciences Division,Professor,Associate Member,N/A
"Goodstadt, Michael",Social & Behavioural Health Sciences Division,Adjunct Professor,Associate Member,N/A
"Gord, Charna",Clinical Public Health Division,Adjunct Lecturer,Associate Member,N/A
"Gould, Richard",Clinical Public Health Division,Adjunct Professor,N/A,N/A
