Faculty Member,Division/Institute,Current Position,SGS Status,Accepting Students
"O’Brien, Patricia",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"O’Campo, Patricia",Epidemiology Division,Professor,Full Member,N/A
"O’Neill, Braden",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Oandasan, Ivy",Clinical Public Health Division,Professor,Associate Member,N/A
"Odhiambo, Apondi Judith",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Ofner, Marianna",Epidemiology Division,Adjunct Professor,Associate Member,N/A
"Oliver, Christine",Occupational & Environmental Health Division,Adjunct Professor,Associate Member,N/A
"Ondrusek, Nancy",Clinical Public Health Division,Adjunct Professor,Associate (Restricted) Member,N/A
"Orbinski, James",Clinical Public Health Division,Professor,Full Member,N/A
"Orchard, Christa",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Orkin, Aaron",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Orsini, Michael",Social & Behavioural Health Sciences Division,Professor,Associate Member,N/A
"Osborn, Richard",Richard Osborn,Professor Emeritus,Member Emeritus,N/A
"Ouyang, Yongdong",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Padhi, Shovita",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Pakes, Barry","Clinical Public Health Division, Centre for Global Health",Assistant Professor,N/A,N/A
"Paneduro, Denise","Clinical Public Health Division, Centre for Global Health",Adjunct Professor,Associate (Restricted) Member,No
"Panzarella, Tony",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Pariser, Pauline",Clinical Public Health Division,Professor,Associate Member,N/A
"Parpia, Alyssa",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Parthimos, Margie",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Pasternak, Harley",Clinical Public Health Division,N/A,Associate (Restricted) Member,N/A
"Pasut, George",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Patel, Zeenat",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Paterson, Andrew","Biostatistics Division, Epidemiology Division",Professor,Full Member,N/A
"Pawa, Jasmine",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Peer, Nazia",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Peranson, Judith",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Perez-​Brumer, Amaya",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Perl, Brielle",Clinical Public Health Division,N/A,N/A,N/A
"Phoenix, Michelle",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Phoenix, Michelle",Michelle Phoenix,N/A,N/A,N/A
"Pinto, Andrew",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Poland, Blake","Social & Behavioural Health Sciences Division, Centre for Global Health",Associate Professor,Full Member,N/A
"Pole, Jason D.",Epidemiology Division,Associate Professor,Full Member,Yes
"Poon, David Edward-​Ooi",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Popova, Svetlana (Lana)","Epidemiology Division, Centre for Global Health",Professor,Associate Member,Yes
"Poulin-​Costello, Melanie",Biostatistics Division,Adjunct Lecturer,Associate (Restricted) Member,No
"Pritlove, Cheryl",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,Yes
"Prowse, Rachel",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Pullenayegum, Eleanor",Biostatistics Division,Professor,Full Member,Yes
"Purdham, James",Occupational & Environmental Health Division,Associate Professor Emeritus,Member Emeritus,N/A
"Quinlan-​Davidson, Meaghen",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Quiñonez, Carlos",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Rabeneck, Linda",Clinical Public Health Division,Professor,Full Member,N/A
"Raboud, Janet",Biostatistics Division,Adjunct Professor,Associate Member,No
"Rachlis, Beth",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Rachlis, Michael",Clinical Public Health Division,Adjunct Professor,Associate Member,N/A
"Radisic, Sally",Occupational & Environmental Health Division,Adjunct Professor,Associate Member,N/A
"Rajaram, Nikhil",Occupational & Environmental Health Division,Adjunct Professor,Associate Member,N/A
"Rankin, James G.D.",Clinical Public Health Division,Professor Emeritus,N/A,N/A
"Ratnapalan, Savithiri","Institute of Health Policy, Management & Evaluation, Clinical Public Health Division",Professor,Full Member,Yes
"Rea, Elizabeth",Clinical Public Health Division,Adjunct Professor,Associate Member,N/A
"Recknor, Frances",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Redditt, Vanessa",Clinical Public Health Division,Lecturer,Associate (Restricted) Member,N/A
"Reel, Kevin",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Renwick, Rebecca",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Reynolds, Donna L.",Clinical Public Health Division,Assistant Professor,N/A,N/A
"Rezmovitz, Jeremy",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Rice, Carla",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Richardson, Denyse",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Richmond, Sarah A.",Epidemiology Division,Adjunct Professor,Associate (Restricted) Member,N/A
"Ricupero, Maria",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Riggin, Peter",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Robbins, Julian",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Robertson, Ann",Social & Behavioural Health Sciences Division,Professor Emerita,Member Emerita,N/A
"Robertson, Jamie",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Rocha, Cecilia",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Rochon, Paula",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Rodin, Gary",Epidemiology Division,Professor,Full Member,N/A
"Rodrigues, Kevin",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Roerecke, Michael",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Roher, Sophie",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Rolston, Imara Ajani",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Rosella, Laura C.",Epidemiology Division,Professor,Full Member,N/A
"Ross, Lori E.",Social & Behavioural Health Sciences Division,Associate Professor,Full Member,No
"Roth, Daniel",Epidemiology Division,Associate Professor,Full Member,Yes
"Rothman, Linda",Epidemiology Division,Associate Professor,Associate Member,N/A
"Rouleau, Katherine",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Rusen, I.D.",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Rush, Brian","Epidemiology Division, Social & Behavioural Health Sciences Division",Professor,Full Member,N/A
"Rutty, Christopher James",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Saarela, Olli",Biostatistics Division,Associate Professor,Full Member,No
"Saary, Joan",Occupational & Environmental Health Division,Associate Professor,Associate Member,N/A
"Sachdeva, Herveen",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Sakinofsky, Isaac",Isaac Sakinofsky,Professor Emeritus,Member Emeritus,N/A
"Samuel, Folake",Clinical Public Health Division,Professor,Associate (Restricted) Member,N/A
"Sanders, Elizabeth F.",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate Member,N/A
"Sapag, Jaime",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Sarah, Erdman",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Sass-​Kortsak, Andrea",Occupational & Environmental Health Division,Associate Professor Emerita,Member Emerita,N/A
"Schwartz, Brian",Clinical Public Health Division,Professor,N/A,No
"Schwartz, Kevin",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Schwartz, Robert Mitchell","Social & Behavioural Health Sciences Division, Centre for Global Health",Professor Emeritus,Member Emeritus,N/A
"Scott-​Marshall, Heather Katherine",Social & Behavioural Health Sciences Division,Adjunct Professor,Associate Member,N/A
"Scott, Helen",Epidemiology Division,Assistant Professor,Associate Member,Yes
"Scott, James A",Occupational & Environmental Health Division,Professor,Full Member,N/A
"Scott, Jeremy Alexander",Occupational & Environmental Health Division,Associate Professor,Full Member,Yes
"Sejdić, Ervin",Biostatistics Division,Associate Professor,Full Member,N/A
"Selby, Peter",Clinical Public Health Division,Professor,Full Member,N/A
"Sellen, Daniel W.",Social & Behavioural Health Sciences Division,Professor,Full Member,No
"Shah, Chandrakant P.","Epidemiology Division, Social & Behavioural Health Sciences Division",Professor Emeritus,N/A,N/A
"Shah, Nirtal",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Shahin, Rita",Clinical Public Health Division,Adjunct Professor,N/A,No
"Shakeri Hossein Abad, Zahra","Biostatistics Division, Epidemiology Division",Assistant Professor,Associate Member,N/A
"Shalansky, Rebecca",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Shannon, Harry",Epidemiology Division,Adjunct Professor,Full Member,N/A
"Shapiro, Gilla",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,No
"Shapiro, Howard",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Sharma, Divya",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Shaw, Jay",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Shen, Shixin (Cindy)",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Sheppard, Amanda J.",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Shestopaloff, Konstantin",Biostatistics Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Shield, Kevin",Epidemiology Division,Associate Professor,Associate Member,N/A
"Shuper, Paul",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Sibbald, Gary",Clinical Public Health Division,Professor,Associate Member,N/A
"Sicchia, Suzanne",Social & Behavioural Health Sciences Division,"Associate Professor, Teaching Stream",Associate Member,N/A
"Siddiqi, Arjumand","Epidemiology Division, Centre for Global Health",Professor,Full Member,N/A
"Siegel, Jeffrey",Occupational & Environmental Health Division,Professor,Full Member,N/A
"Silverman, Michael","Clinical Public Health Division, Centre for Global Health",Assistant Professor,N/A,N/A
"Simon, Lisa",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Singh, Jerome Amir","Clinical Public Health Division, Joint Centre for Bioethics, Centre for Global Health",Adjunct Professor,Associate Member,N/A
"Singla, Daisy",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Sirianni, Giovanna",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Skinner, Harvey A.",Social & Behavioural Health Sciences Division,Professor Emeritus,Member Emeritus,N/A
"Smith, Brendan T.",Epidemiology Division,Assistant Professor,Full Member,Yes
"Smith, Maureen",Epidemiology Division,Adjunct Professor,Associate Member,N/A
"Smith, Maxwell J.",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Smith, Peter M",Epidemiology Division,Professor,Full Member,Yes
"Smith, Robert",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Smylie, Janet","Epidemiology Division, Social & Behavioural Health Sciences Division",Professor,Full Member,N/A
"Sodhi, Sumeet",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Sommers, Ryan",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Sornpaisarn, Bundit",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Spilchuk, Vincent",Occupational & Environmental Health Division,Assistant Professor,Associate Member,N/A
"Spithoff, Sheryl",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Sritharan, Jeavana",Occupational & Environmental Health Division,Assistant Professor,Associate Member,N/A
"Stafford, Jamie",Biostatistics Division,Professor,Full Member,N/A
"Steiner, Robert",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Stewart, Suzanne L.",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Stirling, Robert",Clinical Public Health Division,Adjunct Professor,N/A,No
"Strike, Carol",Social & Behavioural Health Sciences Division,Professor,Full Member,No
"Strug, Lisa Joanna",Biostatistics Division,Associate Professor,Full Member,N/A
"Subbarao, Padmaja",Epidemiology Division,Associate Professor,Full Member,N/A
"Sullivan, Frank",Clinical Public Health Division,Professor,Full Member,N/A
"Sullivan, Terrence",Terrence Sullivan,Professor,Associate Member,N/A
"Summerbell, Richard","Occupational & Environmental Health Division, Centre for Global Health",Associate Professor,Associate Member,N/A
"Sun, Lei",Biostatistics Division,Professor,Full Member,Yes
"Sutradhar, Rinku",Biostatistics Division,Professor,Associate Member,N/A
"Sykes, Jenna",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Szego, Michael",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Talarico, Susanna",Clinical Public Health Division,Lecturer,Associate Member,N/A
"Tarasoff, Lesley A.",Social & Behavioural Health Sciences Division,Adjunct Lecturer,N/A,N/A
"Tarlo, Susan M.",Occupational & Environmental Health Division,Professor,Full Member,N/A
"Teo, Youyenn",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Thompson, Aaron",Occupational & Environmental Health Division,Assistant Professor,Associate Member,N/A
"Thompson, Alison",Social & Behavioural Health Sciences Division,Associate Professor,Full Member,N/A
"Thorpe, Kevin E",Biostatistics Division,Associate Professor,Associate Member,N/A
"Thulien, Naomi","Social & Behavioural Health Sciences Division, Centre for Critical Qualitative Health Research",Assistant Professor,Associate Member,N/A
"Thurairatnam, Ragavan",Biostatistics Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Timothy Wale, Ajiboye",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Timothy, Roberta K.",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"To, Teresa","Biostatistics Division, Epidemiology Division",Professor,Full Member,N/A
"Tomlinson, George","Biostatistics Division, Centre for Global Health",Professor,Full Member,N/A
"Tompa, Emile","Social & Behavioural Health Sciences Division, Centre for Global Health",Assistant Professor,Full Member,Yes
"Tricco, Andrea","Institute of Health Policy, Management & Evaluation, Epidemiology Division",Professor,Full Member,Yes
"Tsuchiya, Kazumi",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Tuite, Ashleigh",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Turner, Nigel E.",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Tyler, Ingrid",Clinical Public Health Division,Assistant Professor,N/A,N/A
"Upshur, Ross E. G.","Clinical Public Health Division, Centre for Global Health",Professor,Full Member,No
"Urch, Bruce",Occupational & Environmental Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Vahid Shahidi, Faraz",Epidemiology Division,Assistant Professor,Associate Member,N/A
"van Lettow, Monique",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Vanderlinden, Loren",Occupational & Environmental Health Division,Adjunct Professor,Associate Member,N/A
"Wagner, Franklin",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Wainberg, Michael",Biostatistics Division,Assistant Professor,Associate Member,Yes
"Waldron, Ingrid",Ingrid Waldron,Professor,Associate Member,N/A
"Walker, Jennifer D",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Walker, Meghan",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Wallington, Tamara",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Wang, Lisa",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Wang, Peizhong Peter",Clinical Public Health Division,Professor,Associate Member,N/A
"Wanigaratne, Susitha",Epidemiology Division,Adjunct Lecturer,Associate (Restricted) Member,No
"Warshafsky, Daniel",Clinical Public Health Division,Adjunct Lecturer,N/A,N/A
"Webster, Fiona",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Wei, Xiaolin","Institute of Health Policy, Management & Evaluation, Clinical Public Health Division",Professor,Full Member,Yes
"Wells, Samantha",Clinical Public Health Division,Professor,Associate Member,N/A
"Wendt, Frank",Biostatistics Division,Assistant Professor,Associate Member,Yes
"Whitehead, Cynthia R",Clinical Public Health Division,Professor,Full Member,N/A
"Wickens, Christine M.",Clinical Public Health Division,Associate Professor,Full Member,N/A
"Widener, Michael",Epidemiology Division,Associate Professor,Full Member,N/A
"Williams, Brenda C.",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Williams, Connie",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Williams, David",Clinical Public Health Division,Adjunct Professor,Associate (Restricted) Member,N/A
"Wilson, Sarah","Epidemiology Division, Clinical Public Health Division",Associate Professor,Associate Member,N/A
"Wirtz, Andrea",Epidemiology Division,Associate Professor,Associate Member,N/A
"Wiseman, Clare",Occupational & Environmental Health Division,Associate Professor,Full Member,Yes
"Witek, Theodore (Ted)",Clinical Public Health Division,Professor,Associate Member,N/A
"Wong, Andy Kin On","Epidemiology Division, Other Initiatives",Assistant Professor,Full Member,Yes
"Wong, Josephine Pui-​Hing",Social & Behavioural Health Sciences Division,Professor,Full Member,N/A
"Wong, Peter",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Wong, Thomas",Epidemiology Division,Assistant Professor,Associate Member,N/A
"Woodruff, Sarah",Epidemiology Division,Associate Professor,Associate Member,N/A
"Xu, Wei",Biostatistics Division,Professor,Full Member,Yes
"Yaffe, Barbara",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Yanar, Basak",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Yarmoshuk, Aaron","Clinical Public Health Division, Centre for Global Health",Adjunct Lecturer,Associate (Restricted) Member,N/A
"Yoshida, Karen",Social & Behavioural Health Sciences Division,Professor Emerita,Member Emerita,N/A
"Young, Cheryl",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Young, Eric",Clinical Public Health Division,Adjunct Professor,N/A,N/A
"Young, Jesse T.",Epidemiology Division,Associate Professor,Full Member,Yes
"Yu, Catherine",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Yuen, Sheila",Clinical Public Health Division,Lecturer,Associate (Restricted) Member,N/A
"Zai, Clement",Epidemiology Division,Associate Professor,Associate Member,N/A
"Zakaria, Camellia",Biostatistics Division,Assistant Professor,Associate Member,N/A
"Zakus, David","Clinical Public Health Division, Centre for Global Health",Adjunct Professor,Associate Member,N/A
"Zbelo, Mesfin",Mesfin Zbelo,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Zhao, Junqiang",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Zlotkin, Stanley H.",Epidemiology Division,Professor,Full Member,N/A